Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Honduras,76th,6.7,6.6,6.4,6.3,7.7,6.9,6.7,6.7,6.3,6.8,3.7,7.4,0.638,0.638,6.64,1.54,6.1185,3.26,0.572,3.015,7.19,Warning
Bosnia and Herzegovina,78th,6.2,8.7,7.1,5.8,5.6,5.5,7.0,4.1,5.8,6.1,7.3,8.2,0.671,0.671,6.83,3.58,4.974,3.17,0.656,2.935,6.58,Warning
Georgia,70th,7.3,9.1,7.8,5.8,5.9,5.4,8.8,4.8,5.8,3.9,7.4,7.3,0.694,0.694,6.44,1,6.335,3.7,0.618,2.43,6.24,Warning
Thailand,71st,8.9,10.0,8.5,4.0,5.8,4.1,8.0,4.9,7.7,6.9,6.0,4.3,0.723,0.723,7.49,0.88,7.9625,6.2,0.63,0.975,2.67,Warning
Swaziland,48th,6.0,6.8,3.7,9.3,8.1,6.9,8.5,7.5,8.5,8.5,4.9,7.6,0.514,0.514,8.04,0.9,8.307,0.22,0.445,1.045,0.81,Warning
Bolivia,76th,6.6,8.0,6.5,5.4,8.6,6.4,7.0,6.9,5.9,6.7,3.8,6.2,0.604,0.604,6.95,6.24,4.263,2.83,0.452,2.76,3.7,Warning
Burkina Faso,39th,7.4,7.8,5.0,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5,0.792,0.792,7.42,0.32,3.675,0.97,0.778,1.44,0.56,Warning
Philippines,48th,9.1,8.0,8.3,6.0,6.2,6.2,7.5,7.2,5.9,8.2,7.4,6.3,0.783,0.783,6.62,1.8,6.4175,1,0.808,1.235,0.04,Warning
Comoros,59th,7.2,7.5,5.0,8.0,7.0,7.8,6.8,8.0,6.1,7.6,4.5,7.8,0.724,0.724,7.4,1.44,4.2875,1.41,0.63,1.46,4,Warning
Maldives,91st,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7.0,0.846,0.846,8,2.32,6.431,0.16,0.882,7.025,4.66,Warning
