Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Burundi,2015,18th,Alert,7.7,7.9,8.0,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9.0,8.4
Niger,2015,19th,Alert,8.7,8.9,7.5,8.2,8.4,6.9,7.5,9.3,6.8,9.6,7.9,8.1
Ethiopia,2015,20th,Alert,8.4,8.6,8.5,6.9,7.1,7.0,7.4,8.6,8.5,9.2,9.4,7.9
Kenya,2015,21st,Alert,8.4,8.9,9.0,7.5,8.3,7.5,8.1,7.9,6.5,9.0,8.3,8.0
Liberia,2015,21st,Alert,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10.0
Uganda,2015,23rd,Alert,7.6,8.9,8.7,7.0,7.3,7.3,8.0,8.3,7.9,8.9,8.8,8.3
Eritrea,2015,24th,Alert,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2
Libya,2015,25th,Alert,9.3,9.1,7.8,8.0,6.1,6.4,9.8,7.5,9.0,5.4,7.4,9.5
Mauritania,2015,26th,Alert,7.4,8.8,6.9,8.0,7.1,6.3,7.9,8.9,8.0,8.6,8.5,8.5
Myanmar,2015,27th,Alert,8.3,8.3,9.7,6.5,8.2,5.7,9.0,8.6,8.3,6.8,8.3,7.0
Cameroon,2015,28th,Alert,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8.0,8.0,7.8,7.0
North Korea,2015,29th,Alert,8.6,8.5,6.3,9.0,8.0,4.2,10.0,8.9,9.7,7.5,4.3,8.8
Mali,2015,30th,Alert,8.7,4.9,7.6,8.2,7.4,8.4,6.0,9.0,6.7,9.1,7.8,9.3
Sierra Leone,2015,31st,Alert,4.8,7.7,6.2,8.7,8.8,8.4,6.9,9.3,5.6,9.5,8.2,7.8
Bangladesh,2015,32nd,Alert,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7
Congo Republic,2015,33rd,Alert,6.7,6.7,6.6,6.4,8.2,6.8,8.7,9.1,7.9,7.8,8.3,7.6
Sri Lanka,2015,34th,Alert,7.9,9.1,9.3,5.9,7.6,7.8,8.0,5.6,8.8,6.0,8.2,6.4
Nepal,2015,35th,Alert,7.0,8.3,9.1,6.8,7.5,7.0,7.1,7.1,7.7,7.9,7.6,7.4
TimorLeste,2015,35th,Alert,7.7,8.3,6.5,8.4,6.7,7.0,7.4,8.4,5.8,8.9,6.8,8.7
Rwanda,2015,37th,Alert,6.2,8.0,8.8,6.3,8.2,7.5,6.5,7.3,7.7,8.0,7.9,7.8
Egypt,2015,38th,Warning,8.2,9.0,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1
Burkina Faso,2015,39th,Warning,7.4,7.8,5.0,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5
Lebanon,2015,40th,Warning,8.8,9.3,8.6,5.9,5.7,5.4,7.8,5.4,7.2,5.7,9.1,9.2
Djibouti,2015,41st,Warning,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4
Angola,2015,42nd,Warning,6.0,7.2,7.3,5.6,9.6,6.0,8.3,8.9,7.3,8.7,7.6,5.6
Cambodia,2015,42nd,Warning,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7.0,5.8,7.4
Iran,2015,44th,Warning,8.0,9.4,8.5,6.9,6.1,6.2,8.9,5.0,9.3,5.4,6.5,7.0
Malawi,2015,44th,Warning,4.8,7.7,5.4,8.6,8.4,8.1,6.9,7.8,6.2,8.8,6.1,8.1
Mozambique,2015,46th,Warning,7.0,6.9,5.9,7.8,8.6,7.4,7.2,9.0,6.1,8.7,5.0,7.3
Togo,2015,47th,Warning,7.0,7.6,4.5,6.8,8.1,7.3,8.1,8.6,7.2,8.0,7.1,6.5
Philippines,2015,48th,Warning,9.1,8.0,8.3,6.0,6.2,6.2,7.5,7.2,5.9,8.2,7.4,6.3
Swaziland,2015,48th,Warning,6.0,6.8,3.7,9.3,8.1,6.9,8.5,7.5,8.5,8.5,4.9,7.6
Solomon Islands,2015,50th,Warning,6.4,8.2,6.5,7.6,8.9,6.3,7.3,7.6,5.7,8.5,4.9,8.0
Gambia,2015,51st,Warning,6.0,6.8,3.7,7.8,7.2,7.7,7.8,7.7,8.6,8.2,6.4,7.5
Uzbekistan,2015,52nd,Warning,7.6,8.8,7.6,6.8,7.0,6.3,9.6,5.4,9.1,6.1,6.0,5.1
Zambia,2015,53rd,Warning,5.0,5.7,5.7,7.7,8.6,7.8,7.4,7.6,6.8,9.4,6.9,6.6
Equatorial Guinea,2015,54th,Warning,7.0,8.2,6.3,5.2,9.0,6.0,9.8,7.1,9.7,7.7,3.3,5.5
Laos,2015,55th,Warning,6.0,8.3,6.3,5.5,6.9,7.4,9.0,7.7,8.1,7.1,5.6,6.6
Madagascar,2015,56th,Warning,7.1,7.6,4.6,7.6,8.5,6.1,7.2,9.1,6.1,8.5,3.9,7.3
Papua New Guinea,2015,57th,Warning,6.9,7.1,6.3,6.2,9.0,7.1,6.9,8.7,6.6,7.3,4.6,6.7
Tajikistan,2015,57th,Warning,6.8,8.4,7.3,7.4,5.6,6.3,9.1,5.9,7.6,7.8,4.8,6.4
Comoros,2015,59th,Warning,7.2,7.5,5.0,8.0,7.0,7.8,6.8,8.0,6.1,7.6,4.5,7.8
Senegal,2015,60th,Warning,6.2,6.6,6.3,7.3,7.3,7.4,5.5,7.9,6.2,8.0,7.8,6.5
Colombia,2015,61st,Warning,7.3,7.6,8.0,3.8,7.5,6.7,7.1,6.0,7.3,6.9,7.8,6.5
Kyrgyz Republic,2015,62nd,Warning,6.8,8.0,8.4,7.0,6.4,6.4,7.8,5.6,7.2,5.9,5.8,6.9
Tanzania,2015,63rd,Warning,5.5,5.7,5.7,6.7,7.0,7.0,6.0,8.7,6.0,8.8,6.4,7.3
Guatemala,2015,64th,Warning,7.0,6.0,7.9,6.0,8.0,6.7,6.6,7.4,6.6,7.3,5.5,5.4
Russia,2015,65th,Warning,9.1,8.1,9.3,4.4,6.4,4.5,7.9,4.7,8.9,5.1,5.7,5.9
Lesotho,2015,66th,Warning,5.6,7.3,4.4,8.3,7.3,7.4,6.4,8.0,4.8,7.7,4.9,7.8
Algeria,2015,67th,Warning,8.0,7.7,8.2,6.4,6.0,5.1,7.8,5.8,7.1,5.7,6.4,5.4
Israel and West Bank,2015,68th,Warning,7.0,8.1,9.7,3.9,6.9,3.8,6.3,5.3,7.4,6.0,7.4,7.6
India,2015,69th,Warning,7.9,7.3,8.3,5.6,7.5,5.5,5.2,7.5,5.9,8.0,5.4,5.3
Georgia,2015,70th,Warning,7.3,9.1,7.8,5.8,5.9,5.4,8.8,4.8,5.8,3.9,7.4,7.3
Thailand,2015,71st,Warning,8.9,10.0,8.5,4.0,5.8,4.1,8.0,4.9,7.7,6.9,6.0,4.3
Nicaragua,2015,72nd,Warning,5.6,6.8,6.5,6.2,7.9,8.1,7.3,7.2,5.3,6.2,4.6,7.3
Benin,2015,73rd,Warning,6.2,6.1,3.9,6.6,7.5,6.8,6.2,8.6,5.6,8.2,6.0,7.1
Bhutan,2015,74th,Warning,5.0,7.5,7.9,5.7,6.9,6.8,5.0,6.6,6.5,6.0,6.9,7.9
Venezuela,2015,74th,Warning,6.5,8.1,7.3,6.5,6.7,5.2,8.6,7.2,8.3,5.1,4.8,4.3
Bolivia,2015,76th,Warning,6.6,8.0,6.5,5.4,8.6,6.4,7.0,6.9,5.9,6.7,3.8,6.2
Honduras,2015,76th,Warning,6.7,6.6,6.4,6.3,7.7,6.9,6.7,6.7,6.3,6.8,3.7,7.4
Bosnia and Herzegovina,2015,78th,Warning,6.2,8.7,7.1,5.8,5.6,5.5,7.0,4.1,5.8,6.1,7.3,8.2
Turkmenistan,2015,78th,Warning,6.8,7.8,7.1,5.0,6.9,5.1,9.7,6.1,8.8,5.7,3.9,4.6
Azerbaijan,2015,80th,Warning,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9
Jordan,2015,81st,Warning,5.5,6.9,7.7,6.3,5.9,3.6,6.1,4.7,7.6,7.0,8.8,6.8
Fiji,2015,82nd,Warning,6.7,7.9,7.0,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2
China,2015,83rd,Warning,5.9,7.2,8.3,3.4,7.4,4.6,8.0,6.2,9.2,7.4,5.6,3.2
Ukraine,2015,84th,Warning,7.9,8.0,7.0,6.5,4.7,5.5,8.5,3.8,6.4,4.5,4.4,9.1
Ecuador,2015,85th,Warning,6.7,8.2,7.8,5.3,6.8,6.2,7.0,6.3,5.1,5.7,5.2,5.6
Tunisia,2015,86th,Warning,7.8,8.1,7.8,6.6,5.4,5.5,7.0,4.9,7.0,4.7,4.1,6.9
Belarus,2015,87th,Warning,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8
Indonesia,2015,88th,Warning,6.2,7.0,7.3,5.2,6.3,6.3,5.6,6.0,6.8,7.1,5.9,5.3
Morocco,2015,89th,Warning,5.7,6.6,7.1,5.3,6.3,7.6,6.5,5.7,7.0,5.5,5.3,6.0
Turkey,2015,89th,Warning,7.7,7.3,9.0,5.0,6.2,3.7,6.3,4.9,6.4,5.5,7.5,5.0
Maldives,2015,91st,Warning,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7.0
Serbia,2015,92nd,Warning,6.0,8.0,8.1,6.7,5.3,5.3,5.7,4.7,4.9,5.5,7.0,6.6
Sao Tome and Principe,2015,93rd,Warning,5.5,6.3,4.5,8.4,6.5,7.9,6.1,5.8,3.8,6.7,4.3,7.9
Cape Verde,2015,94th,Warning,5.7,5.5,4.0,6.2,7.5,8.6,5.7,6.5,4.5,7.1,4.1,8.1
Micronesia,2015,94th,Warning,5.1,5.6,4.0,8.1,8.4,9.0,6.0,5.7,3.1,7.1,3.2,8.3
Moldova,2015,96th,Warning,6.6,7.8,6.5,6.3,5.3,6.4,6.3,5.4,5.4,5.3,4.4,7.3
Vietnam,2015,97th,Warning,5.1,6.9,6.5,5.8,5.5,5.6,8.1,5.2,7.8,6.1,4.7,5.1
Peru,2015,98th,Warning,7.1,6.7,7.5,3.7,7.3,6.7,7.1,7.1,4.6,5.3,4.8,4.0
Mexico,2015,99th,Warning,8.0,5.1,6.4,4.6,6.6,5.8,5.9,6.8,6.5,6.2,4.4,5.5
Ghana,2015,100th,Warning,4.1,4.9,4.6,6.3,7.1,7.6,5.0,7.9,5.2,7.1,5.5,6.6
Saudi Arabia,2015,101st,Warning,6.4,8.0,7.4,4.4,5.8,3.7,7.8,3.7,9.2,5.8,4.6,4.8
El Salvador,2015,102nd,Warning,6.5,4.3,6.3,5.9,6.6,6.9,4.8,6.7,6.1,6.9,5.1,5.3
Paraguay,2015,103rd,Warning,6.5,7.8,5.9,5.1,8.4,5.2,7.1,6.7,6.1,5.9,2.2,4.4
Dominican Republic,2015,104th,Warning,5.2,6.2,5.8,5.3,6.3,7.6,6.0,6.8,5.5,6.8,3.8,5.9
Gabon,2015,104th,Warning,5.0,7.1,3.7,4.8,6.9,5.5,7.4,6.8,6.9,7.1,5.0,5.1
Namibia,2015,106th,Warning,4.9,3.5,5.9,7.1,8.1,6.5,3.8,7.3,4.3,7.0,5.5,6.9
Guyana,2015,107th,Warning,5.8,5.1,6.5,6.2,6.2,9.1,5.9,6.1,3.9,5.6,3.6,6.5
Armenia,2015,108th,Warning,5.3,7.0,5.4,6.0,5.0,6.0,7.0,4.1,6.5,3.6,7.0,6.8
Suriname,2015,109th,Warning,5.4,5.8,5.8,6.8,6.6,7.3,5.5,5.8,4.9,5.3,3.0,6.2
Kazakhstan,2015,110th,Warning,5.7,7.6,7.0,6.5,4.7,3.6,8.0,4.5,7.5,5.0,3.5,4.7
Samoa,2015,111th,Warning,5.2,5.1,4.5,6.5,5.4,8.9,6.2,5.0,4.5,6.2,2.1,8.6
Cuba,2015,112th,Warning,5.7,7.0,4.5,4.5,5.9,5.7,7.0,4.7,7.3,5.6,4.5,5.0
South Africa,2015,113th,Warning,5.3,5.6,5.5,6.3,7.4,4.9,5.3,6.4,4.3,7.0,5.9,3.1
Cyprus,2015,114th,Warning,4.4,7.9,7.0,6.7,6.4,4.5,5.3,3.0,3.3,4.0,4.5,9.2
Malaysia,2015,115th,Warning,6.8,6.5,6.2,3.6,5.3,4.5,6.9,4.7,7.2,5.8,4.2,4.2
Belize,2015,116th,Warning,5.8,4.3,4.1,5.9,6.2,6.5,5.7,5.8,4.1,5.9,4.1,6.9
Jamaica,2015,117th,Warning,6.3,3.7,3.9,7.1,5.9,7.8,5.3,5.8,4.9,5.2,3.0,5.7
Macedonia,2015,118th,Warning,5.4,7.0,7.0,5.7,5.6,5.5,5.5,4.4,3.9,3.3,5.3,5.9
Bahrain,2015,119th,Warning,6.7,7.1,7.7,3.2,5.1,3.5,8.4,2.3,7.8,4.6,2.6,5.3
Grenada,2015,120th,Warning,5.6,5.6,3.8,5.9,5.3,8.4,5.9,3.7,3.7,5.2,3.2,7.1
Brunei Darussalam,2015,121st,Warning,5.6,7.4,5.9,2.8,7.8,4.6,8.0,2.2,7.7,4.2,2.7,4.1
Botswana,2015,122nd,Warning,3.5,3.3,5.4,6.3,7.7,5.1,3.8,6.0,4.4,7.5,5.2,4.6
Brazil,2015,123rd,Warning,5.9,4.9,5.9,3.9,7.7,4.1,5.1,5.9,5.8,7.6,3.1,2.7
Seychelles,2015,124th,Warning,6.6,5.7,4.5,4.6,6.0,5.5,5.7,3.2,4.6,5.1,3.1,7.5
Albania,2015,125th,Warning,4.7,6.2,5.0,5.2,4.2,7.1,6.2,4.5,5.5,4.1,3.1,6.1
Trinidad and Tobago,2015,126th,stable,5.7,5.6,4.1,4.3,5.5,7.5,5.0,4.8,4.6,5.0,3.0,3.6
Antigua and Barbuda,2015,127th,stable,5.2,3.7,3.9,5.0,5.0,7.3,5.9,3.9,4.5,4.6,3.0,5.8
Kuwait,2015,128th,stable,3.9,7.5,4.7,3.0,4.7,3.1,7.3,2.5,7.3,5.1,4.0,4.4
Mongolia,2015,129th,stable,4.0,5.5,4.3,4.3,6.4,3.1,4.5,5.7,4.8,5.5,2.4,6.5
Bulgaria,2015,130th,stable,4.1,5.3,5.2,6.2,4.9,4.6,5.0,4.2,3.4,4.2,3.5,4.8
Panama,2015,131st,stable,5.1,2.5,5.6,3.4,7.3,4.0,4.0,5.5,4.8,5.7,3.5,3.2
Montenegro,2015,132nd,stable,4.0,6.3,7.3,4.6,2.9,3.6,4.0,3.6,4.2,3.3,4.5,5.9
Romania,2015,132nd,stable,3.5,5.2,6.8,5.2,4.7,4.5,5.6,4.3,3.9,3.7,2.7,4.1
Greece,2015,134th,stable,4.5,3.7,5.0,6.5,4.2,3.8,6.5,3.9,3.4,3.6,1.6,5.9
Oman,2015,135th,stable,4.7,6.6,3.0,4.5,4.2,1.9,6.6,3.8,7.5,5.0,2.0,2.2
Bahamas,2015,136th,stable,4.0,4.5,4.1,4.7,5.0,5.0,4.3,4.4,3.0,6.1,2.8,3.7
Croatia,2015,137th,stable,4.0,4.4,5.7,5.3,3.8,4.5,3.4,2.9,4.1,3.6,4.9,4.4
Barbados,2015,138th,stable,4.3,4.2,4.1,5.7,5.1,5.4,3.0,2.7,2.9,3.8,2.7,5.4
Hungary,2015,139th,stable,2.4,5.3,4.7,5.9,4.3,3.3,6.6,3.3,4.5,2.3,2.5,4.0
Latvia,2015,140th,stable,3.5,4.3,7.4,4.0,4.6,4.4,3.9,3.4,3.0,3.4,2.9,3.8
Argentina,2015,141st,stable,3.6,2.8,5.0,4.9,5.4,3.0,4.7,4.3,4.1,3.8,2.0,4.0
Costa Rica,2015,142nd,stable,3.1,3.8,4.7,4.3,5.5,3.5,2.9,4.5,2.1,4.1,3.9,4.3
Qatar,2015,143rd,stable,2.5,5.0,4.6,2.6,5.2,3.1,6.0,1.8,6.2,4.3,1.8,3.2
United Arab Emirates,2015,144th,stable,3.1,3.6,3.9,2.9,4.2,2.5,6.6,2.7,7.1,4.5,2.2,2.9
Mauritius,2015,145th,stable,2.8,3.2,3.8,4.7,4.3,4.2,3.5,3.8,3.4,4.1,2.2,5.2
Estonia,2015,146th,stable,3.1,5.5,6.5,3.6,3.7,3.5,3.2,3.4,2.0,3.3,2.9,3.1
Italy,2015,147th,stable,4.4,4.9,4.9,5.6,3.4,2.0,4.2,2.3,2.5,3.1,3.7,2.2
Lithuania,2015,148th,stable,3.0,3.0,4.3,5.0,5.0,4.2,3.2,4.0,2.4,3.3,2.6,3.0
Slovak Republic,2015,149th,stable,2.3,3.7,5.9,5.1,4.0,4.2,3.7,2.9,2.7,2.8,2.0,3.3
Chile,2015,150th,stable,3.1,1.7,4.1,3.6,5.1,3.2,3.0,4.5,3.4,5.1,2.1,2.6
Malta,2015,151st,stable,3.4,2.0,3.9,4.2,2.9,4.0,3.9,2.3,3.3,2.8,4.6,3.6
Spain,2015,151st,stable,3.3,6.1,5.8,5.0,4.0,2.4,3.3,2.7,1.9,2.5,1.7,2.2
Poland,2015,153rd,stable,2.3,3.8,4.4,4.1,3.5,4.4,3.2,2.8,2.5,3.3,2.8,2.7
Czech Republic,2015,154th,stable,2.6,4.3,3.8,4.8,3.2,2.8,4.2,3.1,2.1,1.9,2.0,2.6
Uruguay,2015,155th,stable,3.7,2.7,3.0,3.2,4.2,4.4,1.4,3.4,2.2,3.5,1.9,2.9
South Korea,2015,156th,stable,2.1,3.8,3.4,2.0,3.5,3.5,3.3,2.4,2.6,2.8,1.5,5.4
Japan,2015,157th,stable,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6
United States,2015,158th,stable,2.8,4.0,5.0,2.8,4.8,1.5,2.4,2.1,3.7,3.0,2.1,1.1
Singapore,2015,159th,stable,1.6,4.0,3.1,2.5,4.0,3.3,3.8,1.8,4.6,2.9,1.1,1.7
France,2015,160th,stable,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4
United Kingdom,2015,161st,stable,2.5,3.5,5.6,3.9,3.7,2.1,2.0,2.1,1.8,2.6,2.4,1.2
Slovenia,2015,162nd,stable,2.1,1.6,3.9,4.2,3.9,2.8,2.6,2.0,2.0,2.8,1.4,2.3
Belgium,2015,163rd,stable,2.0,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5
Portugal,2015,164th,sustainable,1.6,1.8,2.6,5.1,2.9,2.2,1.8,2.7,2.3,2.6,1.6,2.5
Germany,2015,165th,sustainable,2.1,2.0,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3.0,1.3
Netherlands,2015,166th,sustainable,1.8,2.6,3.9,3.4,2.7,2.6,1.0,1.5,1.0,3.0,2.1,1.2
Austria,2015,167th,sustainable,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2.0,1.7
Canada,2015,168th,sustainable,2.2,2.5,3.9,1.8,3.0,2.2,0.9,2.0,1.8,2.4,2.0,1.0
Ireland,2015,169th,sustainable,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9
Australia,2015,170th,sustainable,2.1,1.6,4.4,2.1,2.7,1.0,1.1,2.0,2.4,1.8,2.1,1.0
Iceland,2015,171st,sustainable,1.0,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6
New Zealand,2015,172nd,sustainable,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1.0,1.9,1.1,1.1
Switzerland,2015,173rd,sustainable,1.4,1.0,3.6,2.0,2.7,2.1,1.0,1.4,1.8,1.9,2.1,1.3
Luxembourg,2015,174th,sustainable,2.0,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1.0,1.7,1.7,1.6
Denmark,2015,175th,sustainable,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4
Norway,2015,176th,sustainable,2.5,1.1,3.7,1.7,2.0,1.6,0.4,1.4,1.3,2.0,1.9,1.2
Sweden,2015,177th,sustainable,2.1,1.8,1.3,2.3,1.8,1.5,1.0,1.6,1.0,2.5,2.3,1.0
Finland,2015,178th,sustainable,1.4,1.1,1.6,3.8,1.0,2.3,0.5,1.2,0.9,1.5,1.5,1.0
