Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rates,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Zambia,2013,45th,5.0,5.7,6.0,8.3,8.0,7.4,8.0,7.6,6.7,9.3,7.4,7.2,0.744,0.744,6.53,3.54,6.990285427,1.36,0.799,2.415,1.755,Warning
Rwanda,2013,38th,5.5,8.2,8.2,6.7,7.7,6.9,6.5,7.6,7.7,8.4,7.9,8.0,0.671,0.671,7.41,3.82,4.246985033,1.92,0.631,1.985,0,Warning
Lebanon,2013,46th,8.5,9.2,8.5,5.3,6.2,6.0,7.2,5.6,6.8,6.3,8.5,8.2,0.891,0.891,6.97,3,4.287560147,0.33,0.86,0,7.086,Warning
Nepal,2013,30th,7.6,8.2,9.0,7.3,8.1,5.9,8.1,7.3,7.9,7.6,7.7,7.1,0.799,0.799,6.86,1.06,3.784170093,2.21,0.794,2.485,0,Warning
Venezuela,2013,89th,6.5,7.3,6.4,5.4,6.9,5.8,7.6,6.5,7.7,5.4,4.8,4.9,0.754,0.754,7.01,0.86,6.87763629,5.65,0.652,11.65,1.129,Warning
Solomon Islands,2013,51st,6.7,8.0,6.8,7.8,8.3,5.7,7.3,8.0,5.9,7.7,4.9,8.2,0.559,0.559,7.29,6.84,6.560484423,1.78,0.484,0.69,0.158,Warning
Timor-Leste,2013,32nd,8.3,8.3,6.8,7.9,6.7,6.4,8.0,8.5,6.0,8.7,7.4,8.5,0.539,0.539,6.29,1.54,6.031659188,0.37,0.544,0.9,1.731,Warning
Congo Republic,2013,36th,6.7,6.7,6.0,7.0,8.2,6.2,8.7,8.7,7.5,8.2,8.0,8.2,0.576,0.576,6.1,1.56,2.707636235,3.76,0.516,0.35,3.729,Warning
Tanzania,2013,65th,5.5,5.7,6.0,6.8,6.4,6.4,6.2,8.8,6.2,8.6,6.8,7.7,0.478,0.478,8.22,6.2,5.685179866,3.68,0.305,0,3.566,Warning
Egypt,2013,34th,7.3,8.7,8.5,8.2,7.1,5.4,8.9,5.6,9.6,7.2,6.5,7.7,0.709,0.709,7.31,1.22,1.999985818,2.71,0.614,3.695,0,Warning
Sri Lanka,2013,28th,8.5,9.3,9.5,5.9,7.8,7.3,8.2,5.5,9.0,6.8,8.4,6.8,0.92,0.92,4.98,1.26,5.484258037,0.62,0.812,0.32,0,Warning
Papua New Guinea,2013,53rd,6.6,7.1,6.6,6.9,9.1,7.5,7.1,8.9,6.2,7.6,5.0,6.3,0.942,0.942,5.21,0.98,3.996892867,6.16,0.907,4.04,0,Warning
Burkina Faso,2013,35th,7.2,7.3,5.3,7.7,8.4,6.3,7.7,8.7,6.8,9.4,7.4,8.0,0.781,0.781,7.39,0.32,1.753917162,1.05,0.756,0.925,4.088,Warning
Gambia,2013,62nd,5.5,6.8,3.7,7.8,6.8,7.1,7.6,7.5,8.0,7.7,6.4,6.9,0.887,0.887,8.18,3,2.96070291,0.35,0.82,2.205,6.801,Warning
Comoros,2013,56th,7.5,7.5,5.3,8.2,6.4,7.2,7.4,7.9,6.6,7.4,4.5,8.1,0.712,0.712,7.37,1.46,4.189562343,1.49,0.612,1.17,5.633,Warning
Libya,2013,54th,8.9,8.0,7.4,5.0,6.7,4.2,8.4,7.3,9.0,5.5,5.4,8.8,0.563,0.563,6.97,0.74,3.950666316,5.54,0.455,0.165,3.599,Warning
Sierra Leone,2013,33rd,5.4,7.9,5.9,8.6,8.5,8.0,7.3,9.0,6.1,9.0,8.1,7.4,0.749,0.749,6.31,0.66,6.108295478,0.93,0.643,-0.51,0.277,Warning
